episode_id,step,commanded_vx,pitch,roll,omega_x,omega_y,sin_phase,cos_phase,fall_detected
2,1700,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
2,1800,0.2,0.0496,-0.0075,0.8811,-0.1754,-0.0157,-0.9999,False
2,1900,0.2,0.04,-0.0596,0.0099,-0.0186,-0.9999,0.0157,False
2,2000,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
2,2100,0.2,0.0439,0.0556,-0.0155,0.0646,0.9999,-0.0157,False
2,2200,0.2,0.0496,-0.0074,0.8809,-0.1753,-0.0157,-0.9999,False
2,2300,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
2,2400,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
2,2500,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
2,2600,0.2,0.0496,-0.0074,0.8809,-0.1753,-0.0157,-0.9999,False
2,2700,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
2,2800,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
2,2900,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
2,3000,0.2,0.0496,-0.0074,0.8809,-0.1753,-0.0157,-0.9999,False
2,3100,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
2,3200,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
2,3300,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
2,3400,0.2,0.0496,-0.0074,0.8808,-0.1753,-0.0157,-0.9999,False
2,3500,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
2,3600,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
2,3700,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
2,3800,0.2,0.0496,-0.0074,0.8808,-0.1753,-0.0157,-0.9999,False
2,3900,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
2,4000,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
2,4100,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
2,4200,0.2,0.0496,-0.0074,0.8808,-0.1752,-0.0157,-0.9999,False
2,4300,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
2,4400,0.2,0.0367,-0.0019,-0.7189,-0.0571,0.0157,0.9999,False
2,4500,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
2,4600,0.2,0.0496,-0.0074,0.8808,-0.1752,-0.0157,-0.9999,False
2,4700,0.2,0.04,-0.0596,0.01,-0.0186,-0.9999,0.0157,False
2,4800,0.2,0.0367,-0.0019,-0.719,-0.0571,0.0157,0.9999,False
2,4900,0.2,0.0439,0.0556,-0.0155,0.0645,0.9999,-0.0157,False
2,4999,0.2,0.0499,-0.0056,0.856,-0.1521,0.0,-1.0,False
3,0,0.2,0.0004,-0.0,0.0,0.2184,0.0157,0.9999,False
3,100,0.2,0.0567,0.008,0.0136,0.1139,0.9999,-0.0157,False
3,200,0.2,0.0657,-0.0501,0.3961,-0.0555,-0.0157,-0.9999,False
3,300,0.2,0.0603,-0.0746,-0.0825,-0.0458,-0.9999,0.0157,False
3,400,0.2,0.0484,0.0026,-0.8732,-0.1025,0.0157,0.9999,False
3,500,0.2,0.052,0.0575,-0.0216,0.0456,0.9999,-0.0157,False
3,600,0.2,0.053,-0.0049,0.8736,-0.1976,-0.0157,-0.9999,False
3,700,0.2,0.0411,-0.0596,0.0162,-0.0202,-0.9999,0.0157,False
